"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Cyp7b1.2",0.032300669159387,0.908043709511204,11.7811822399172,8.86751341418093e-09,2.61422891913075e-06,10.2532021614597
"Gm13478.2",-0.155132035478755,0.570962711961456,-11.8105456557864,9.55903780199262e-09,2.76064814924314e-06,10.1882909996639
"Dlg2.15",0.0743406587114145,0.802438768542299,11.8071988917595,9.5943165425665e-09,2.76064814924314e-06,10.1844384473061
"Tnrc6a.17",-0.11217063711087,0.856779955052971,-11.7919893904241,9.75639589453647e-09,2.78029139544594e-06,10.1669187376501
"Ppp1r3a.2",0.0960397121240603,0.698869632029847,11.7732331162673,9.96029154895645e-09,2.80530526040592e-06,10.1452872297003
"Ddx5.2",0.0795957391768751,0.425784390348741,11.7665996238083,1.00334837400219e-08,2.80530526040592e-06,10.137629896033
"Slc6a8.1",0.107348483450528,0.808263944661426,11.7471409272397,1.0251505189399e-08,2.83947532054409e-06,10.1151468344023
"Zfp536.76",-0.154517196981173,0.269642186814843,-11.7326651030606,1.04169630466865e-08,2.8416369439385e-06,10.0984007304434
"Srsf5.6",0.0950221217877294,0.813274442871101,11.7281111269574,1.04696001976333e-08,2.8416369439385e-06,10.0931289426396
"Parva",-0.100384300088167,0.71974239548941,-11.7214627868439,1.05469535996638e-08,2.8416369439385e-06,10.085429573614
"Tshz1.14",0.0852185616587943,0.805460289807605,11.6992981593851,1.08092605786899e-08,2.88607257451021e-06,10.0597343722038
"Kctd2.3",0.105287208590841,0.772548948529224,11.6790221393575,1.10552980012031e-08,2.91341992791635e-06,10.0361927118823
"Zmynd8.3",0.0616759353785944,0.837921006835932,11.668587584737,1.11842300243802e-08,2.91341992791635e-06,10.0240641795182
"Gm12520.2",0.0542542602344947,0.835053559865016,11.6600928939781,1.12065955320196e-08,2.91341992791635e-06,10.0210215754554
"Chtop",0.0688049965713813,0.879017169477779,11.6386053904393,1.15636762071575e-08,2.98011018914371e-06,9.98916380542827
"Iffo1.2",-0.0654189999234484,0.685508721537656,-11.584201727625,1.2287590818945e-08,3.07656105079306e-06,9.92564285905893
"Nfe2l1.2",0.157169196881429,0.513672819169099,11.582696189173,1.23082967444869e-08,3.07656105079306e-06,9.92388146159722
"Toe1",0.0606832140791211,0.799118012374591,11.577385896153,1.23816268400046e-08,3.07656105079306e-06,9.91766717883129
"Gli3",0.0385008636387901,0.874351882149539,11.4896615359603,1.23065702985309e-08,3.07656105079306e-06,9.91053679824883
"Sptbn1.1",0.0691117263302292,0.704470643045124,11.570609157838,1.24758825359735e-08,3.07656105079306e-06,9.9097333459796
"Fto.1",0.121500082266492,0.840198034658825,11.5643643912859,1.25634148570608e-08,3.07656105079306e-06,9.90241887245211
"Pias2",0.137057192530783,0.747691778827802,11.5475032659443,1.28030338162492e-08,3.07656105079306e-06,9.88265297490135
"Mbd6.4",0.129664134212559,0.574502181350786,11.5355136390217,1.29763761794327e-08,3.07656105079306e-06,9.86858313200508
"Zfp536.8",-0.121194071011672,0.176364888519021,-11.5326967710819,1.30174625263689e-08,3.07656105079306e-06,9.86527576066519
"Rbfox1.11",0.0417111004510219,0.781415905388085,11.4658851455162,1.29496392972983e-08,3.07656105079306e-06,9.86034534774185
"Fto.3",0.144154544880305,0.791545543203235,11.5210400354168,1.31889620295674e-08,3.07656105079306e-06,9.85158204861553
"Eif4g2.16",0.10532246946714,0.665621101881275,11.5184460681308,1.32274515368459e-08,3.07656105079306e-06,9.84853321984727
"Fbxo45.2",0.0847167850315763,0.832413971115614,11.5134782141791,1.33014987696199e-08,3.07656105079306e-06,9.84269263390722
"Tnrc6b.5",0.0696759950709022,0.873326763584431,11.5074962725979,1.3391246602298e-08,3.07656105079306e-06,9.83565701669428
"Gm20954",0.149229183000445,0.52816502421289,11.4944699817885,1.35889169324545e-08,3.09795947020887e-06,9.82032567150749
"Prrx1.6",-0.0972833336056697,0.218587167654719,-11.4683954591292,1.39939714530468e-08,3.1659490988851e-06,9.78959356777675
"Trabd2b.3",0.0742832160828449,0.858251923382918,11.4426182897512,1.44070473287961e-08,3.23288909395392e-06,9.75915464213365
"Tpm1",0.0845779474655619,0.80243424631492,11.4364366502298,1.45080220500007e-08,3.23288909395392e-06,9.75184657675236
"Socs3.5",-0.104562465219969,0.408210053024186,-11.4161633004065,1.48444938798372e-08,3.28318108296071e-06,9.72785590465895
"Zfp536.24",-0.139825062565093,0.195432563126294,-11.407193596675,1.49960003215413e-08,3.29212193725569e-06,9.71723020856445
"Gm13577.14",0.0699413046642101,0.695958722947775,11.3800052442937,1.54653649969147e-08,3.31077113788682e-06,9.68497985409916
"Robo1.3",0.0938998185698504,0.773488619863197,11.3797948757092,1.54690569932903e-08,3.31077113788682e-06,9.68473006914911
"Zbtb18.4",0.0917212524575514,0.501985507287232,11.373906352096,1.55727824842965e-08,3.31077113788682e-06,9.6777366681818
"R3hcc1l.5",0.0980333574950298,0.64302173533149,11.3716493297056,1.56127354067047e-08,3.31077113788682e-06,9.67505535875662
"Enah.2",0.0570465008006973,0.877451042100237,11.3701405889815,1.56395033000693e-08,3.31077113788682e-06,9.67326275065396
"Zbtb20.35",0.110072820980358,0.833561081040148,11.3544689363378,1.59204511252026e-08,3.34634333331652e-06,9.65463081852356
"Fgf16",0.0966637146312002,0.806504243634634,11.3393426450273,1.61967153050929e-08,3.38043698237352e-06,9.63662702708936
"Dach1.37",-0.0469008901419821,0.884156022095723,-11.2910055456685,1.64365977813503e-08,3.40651362549567e-06,9.61595499761665
"Casz1.45",-0.168065009599854,0.645199993559719,-11.3101104264242,1.67451527096198e-08,3.44636174204863e-06,9.60177745536938
"Comtd1.3",-0.120182069545299,0.5773651441978,-11.2853217540586,1.72256943446293e-08,3.52081312615019e-06,9.57216685276782
"Nkd1.2",-0.138302051495388,0.616057795988953,-11.2683161717566,1.75638212050137e-08,3.55251126067188e-06,9.55182220326148
"Zfp608.28",-0.101017967740124,0.802009553485026,-11.2588520252622,1.77550492034468e-08,3.55251126067188e-06,9.54048877057422
"Mkln1.2",-0.0995065682446033,0.680033428275674,-11.2436177701977,1.80675284029828e-08,3.55251126067188e-06,9.52222902898263
"Prkab1",0.113592394318408,0.778005365082004,11.2421896610979,1.80971194622485e-08,3.55251126067188e-06,9.52051625422436
"X1810013L24Rik.17",0.0396241365842912,0.853904585045463,11.1746553872347,1.79640017642026e-08,3.55251126067188e-06,9.51705350815567
"Pola1.39",0.0289913175054372,0.912238614492589,11.1540851983889,1.80999831413927e-08,3.55251126067188e-06,9.50701852976187
"Bnc1",-0.0861131166558126,0.278107885644426,-11.2222024945472,1.85167122256418e-08,3.61019782950212e-06,9.49652618311693
"Atp1a1.1",0.136432706589459,0.688419209892098,11.2165368932737,1.86375229582557e-08,3.61019782950212e-06,9.48971950227526
"Camkmt.10",-0.0566587203194925,0.870857595744986,-11.2089481064724,1.88006571365469e-08,3.6181498412717e-06,9.48059785615472
"Srsf5.7",0.0462195053752883,0.933630721228753,11.1611730859488,1.9067289771905e-08,3.64578881916095e-06,9.46046317940021
"Fign.8",0.0946711850011574,0.658681485502234,11.1709513606385,1.96406030887807e-08,3.69730757970867e-06,9.43484951979091
"Rnf220.6",0.125695373881723,0.662401073518226,11.1659872225499,1.97532508407907e-08,3.69730757970867e-06,9.42886321106143
"Luc7l2.4",0.110921569087623,0.783845570641147,11.1586089286006,1.99219519728471e-08,3.69730757970867e-06,9.41996160063206
"Gm18494.4",0.0422601717630537,0.846288859074942,11.1081954727578,1.97906890112174e-08,3.69730757970867e-06,9.41830225265775
"Map7d1.3",0.133645289874285,0.771524178562844,11.1552182032314,1.99999922244481e-08,3.69730757970867e-06,9.41586920614349
"Cltc.3",0.102792843265919,0.732753336143477,11.1452980512748,2.02301840622471e-08,3.69730757970867e-06,9.4038903271263
"Kctd2.2",0.106928621648231,0.801190134670417,11.135058123979,2.04707521450148e-08,3.69730757970867e-06,9.39151611965621
"Ttn.10",0.104472171939509,0.735035488043188,11.1333774594723,2.05105258379064e-08,3.69730757970867e-06,9.38948426616177
"Fign.28",0.0960823644916097,0.632848430061173,11.1301372707968,2.05874383773725e-08,3.69730757970867e-06,9.38556630195846
"Etv1.8",-0.118558322507953,0.271238894555908,-11.129009667508,2.06142762090782e-08,3.69730757970867e-06,9.38420260947144
"Tnrc6b.6",0.0923083965427626,0.800072385147187,11.1250416411021,2.07090143479988e-08,3.69730757970867e-06,9.37940288523364
"Cdk14.10",-0.1078993344922,0.55124970306585,-11.0984224436347,2.13566441134616e-08,3.79010096760876e-06,9.34716794247473
"Zeb2.33",-0.0562970333009147,0.153829542935684,-11.0759562999272,2.1919983943709e-08,3.84595610100218e-06,9.31991285187855
"Tcf7l1",-0.14222167606004,0.692807311700382,-11.0755263871647,2.19309167955383e-08,3.84595610100218e-06,9.31939085629551
"Klhl24.1",0.0443581798405067,0.921500282351194,11.0240487560771,2.21713701817881e-08,3.86525234163326e-06,9.30146656655336
"Gm2505.22",0.0686456556929587,0.712599418524478,11.055812792152,2.24385193788073e-08,3.88894970075854e-06,9.29543697862615
"Zfp521.64",0.0809398819898909,0.769792710072689,11.0488702024946,2.26202436426595e-08,3.89765209789244e-06,9.28699275594065
"Nfib.4",0.084016769008108,0.745353359537859,11.0345311669838,2.30005415393309e-08,3.94027196301243e-06,9.26953854513319
"Vegfa",0.0684767125702346,0.659010247170754,11.0286105967609,2.31595427465899e-08,3.94175335947097e-06,9.26232631499275
"Foxp2.26",0.0902756480987022,0.808829295891036,11.0213107345532,2.33571954284047e-08,3.94175335947097e-06,9.25342952422867
"Cfl2.2",0.0919620136775033,0.513807556631161,11.0158507769621,2.35062019059625e-08,3.94175335947097e-06,9.24677199165881
"Socs3.8",-0.0796593248580742,0.156353931308541,-11.00704906236,2.37485382083998e-08,3.94175335947097e-06,9.23603405412629
"Polr3b.1",0.184857546700754,0.585435835916076,11.0033310313104,2.38517025464115e-08,3.94175335947097e-06,9.23149601572516
"Gm48736.3",-0.172891174411225,0.40009234862392,-11.0006347032066,2.39268155093424e-08,3.94175335947097e-06,9.22820423281046
"Msi2.32",0.0799849890977554,0.846984896422019,10.9959974036757,2.4056587599644e-08,3.94175335947097e-06,9.2225412960004
"Gm42857",0.0901364349109239,0.724517217425869,10.9954057775812,2.40731976267586e-08,3.94175335947097e-06,9.22181867910144
"Fam222a.1",-0.0876185699751015,0.414878459172765,-10.9706886483624,2.47781426368868e-08,4.02513839447762e-06,9.19160060845132
"Slit3.9",0.112568477288096,0.659891977775437,10.968070833101,2.48540785568514e-08,4.02513839447762e-06,9.18839693443817
"Foxp1.47",-0.132931558195557,0.722361385453064,-10.9536789426815,2.52759897997183e-08,4.05026289339845e-06,9.17077305260495
"Elavl2.18",0.10726950077794,0.779759142220456,10.9534575278948,2.52825399088543e-08,4.05026289339845e-06,9.17050176739599
"Ube4a",0.0666366345103604,0.88895757873151,10.9476711088492,2.54543604849253e-08,4.05586495533189e-06,9.16341045945403
"Meis2.77",-0.162433267553635,0.340491765568918,-10.8807975312646,2.75326268514059e-08,4.36355327270116e-06,9.08123438192787
"Glis1.8",-0.12618740216478,0.682218739431005,-10.8385806785684,2.89368970823994e-08,4.56171712144187e-06,9.0291458810296
"Galnt1",-0.132991049789696,0.703913907768762,-10.8266078552161,2.93488599878072e-08,4.60218075904043e-06,9.01434352366729
