"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Agap1.13",-0.0252690592922575,0.774725350266735,-5.88615712449981,1.06330888440757e-07,1.88014226629102e-05,6.06960839385309
"Satb2.8",-0.016326739032213,0.460780168168315,-5.88495809164411,1.06857713373145e-07,1.88014226629102e-05,6.06473416309488
"Zfp521.69",-0.0342009211588692,0.477261222463513,-5.8841551492876,1.0721194554212e-07,1.88014226629102e-05,6.06147029572721
"Ttc7b",0.0230835852688243,0.90650448365746,5.88031017504088,1.08924352457791e-07,1.88808149078885e-05,6.04584316945978
"Cpeb4",0.0620132381369732,0.216749441750723,5.88027797948843,1.0893880450953e-07,1.88808149078885e-05,6.04571233280652
"Kirrel3.6",0.0223539070850379,0.837750849086306,5.87025609913389,1.13530685283526e-07,1.95622611613248e-05,6.00499801164851
"Cdk14.6",-0.0287348548960695,0.608962457527555,-5.86824323311239,1.14475727929006e-07,1.96110817839998e-05,5.9968237187248
"Slf2.11",-0.0323383437613714,0.302147498576853,-5.8519375550145,1.22422947180748e-07,2.08520050896312e-05,5.93064394323036
"Epha7",0.0129387988540595,0.927762120975391,5.84652507158855,1.24688738674096e-07,2.11165722747667e-05,5.91213022758168
"Zfp703.2",-0.043110090668359,0.369191082389386,-5.84045473909132,1.28343821887976e-07,2.15744824867838e-05,5.8840794306821
"Fkbp7",-0.0385286420251429,0.671803636706572,-5.83950025558437,1.28848513687645e-07,2.15744824867838e-05,5.88021038216054
"Npas1.1",-0.0328696466328427,0.49419668320039,-5.8368071744362,1.30283085343928e-07,2.1692133709764e-05,5.86929510110979
"Agap1.3",0.0200276611262757,0.804576016757266,5.82991373186455,1.34027325705379e-07,2.21908818543593e-05,5.84136392167467
"Dlgap1.2",-0.0337431158516713,0.183362886415717,-5.81410691534712,1.4301843329496e-07,2.33132412833113e-05,5.77736353837951
"Lcor.17",0.0065942388736614,0.94781992059476,5.81190815618303,1.4344049789352e-07,2.33132412833113e-05,5.77378280995164
"Sim1.1",0.0268216238175118,0.750374279232154,5.81285788722945,1.43753746490568e-07,2.33132412833113e-05,5.7723091031671
"Pde3b",0.0103229199361858,0.928975839022904,5.81104073841429,1.43952598267233e-07,2.33132412833113e-05,5.77027049549614
"Gm20721.8",0.0192466622790879,0.858006886051608,5.80898468149354,1.46057728265007e-07,2.35256135466849e-05,5.75663800940296
"Arhgap26.4",0.0187145970648379,0.910465095626732,5.80674418621901,1.47407079148346e-07,2.36130376031232e-05,5.74757469378557
