"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","condition"
"173C",2735.43170513903,-0.0655509128210376,0.198709986913956,-0.329882326696655,0.741488877952102,0.929982388225165,"Pancreatic Cancer"
"174B",9375.66348942318,0.107408213169106,0.135543376372084,0.792426867649039,0.428111818447276,0.834504575610817,"Pancreatic Cancer"
"174C",12532.4517488182,0.0725435356128359,0.124016739971413,0.584949544953025,0.558581643171214,0.894332873433157,"Pancreatic Cancer"
"175B",29346.027939895,-0.245293463320524,0.141156165347405,-1.73774530298993,0.0822557023195066,0.561971443173129,"Pancreatic Cancer"
"175C",12967.0515167941,-0.203850281628286,0.178855882364841,-1.13974602866268,0.254392124859177,0.757790756620781,"Pancreatic Cancer"
"176B",53826.2077820251,-0.0444340103354865,0.12279446412509,-0.361856787698685,0.717459053115238,0.920619313982911,"Pancreatic Cancer"
"176C",3267.03372635806,-0.369962644168567,0.154955843472072,-2.38753593203632,0.0169617445832766,0.324495807618676,"Pancreatic Cancer"
"177B",22411.9033243587,-0.0713856991830255,0.114423809641028,-0.623871023058729,0.532712291753409,0.894332873433157,"Pancreatic Cancer"
"177C",28342.6487737872,-0.0557356545609957,0.116217274062589,-0.479581499484999,0.631525004007399,0.911705120903061,"Pancreatic Cancer"
"178C",61967.9761351166,0.0315430323297831,0.101923878614985,0.309476373529073,0.75695918182629,0.93095540719054,"Pancreatic Cancer"
"179B",5577.36030264328,-0.00310576304490381,0.152650536010619,-0.020345575758003,0.983767699102845,0.995499170812759,"Pancreatic Cancer"
"179C",68040.0941191077,0.181466466791736,0.109250184773281,1.66101748173992,0.0967099357474889,0.580193719454955,"Pancreatic Cancer"
"17A",8046.72982897009,0.0465820531227407,0.122903494838835,0.379013250874796,0.704678023906962,0.916866506680385,"Pancreatic Cancer"
"17C",82825.4145745235,0.116684045819955,0.15350642311372,0.760124843333195,0.447179963960825,0.843253646326128,"Pancreatic Cancer"
"17D",14993.8529201661,0.105103262171089,0.116782380402684,0.899992462978369,0.368124261687691,0.80071410413682,"Pancreatic Cancer"
"180B",198.106687445939,-0.456162794660906,0.389694297536259,-1.17056574228793,0.241773374166988,0.755859917132585,"Pancreatic Cancer"
"182B",10934.0858176422,-0.261804260243609,0.166159766898779,-1.57561764276604,0.115113947691308,0.580193719454955,"Pancreatic Cancer"
